Surge (m),Sway (m),Heave (m),Roll (deg),Pitch (deg),Yaw (deg),Vessel x0Acc rel. g (m/s^2),Vessel y0Acc rel. g (m/s^2),Vessel z0Acc rel. g (m/s^2),Vessel x0Ang Vel (deg/s),Vessel y0Ang Vel (deg/s),Vessel z0Ang Vel (deg/s),Num Category
0.006320814,0.100817093,27.40447607,0.049611666,0.011291518,0.018460809,0.002348597,0.017050485,9.849829232,0.172828119,0.014440506,0.001009799,2
0.007533965,0.105179257,27.41161673,0.133092159,0.003563763,0.018050758,0.00200209,0.011193368,9.852700462,0.159771932,0.016307689,0.002688795,2
0.008412117,0.101214867,27.43012706,0.208134887,0.004812792,0.015704924,0.001119506,0.001611478,9.849708037,0.139309459,0.017001036,0.006511014,2
0.008823157,0.088918974,27.45926262,0.271428276,0.013149507,0.011689718,0.000467352,0.021253429,9.841112876,0.113030453,0.016142964,0.00913022,2
0.008782048,0.070208123,27.49696888,0.320410817,0.020657907,0.006758372,0.001717886,0.03596311,9.830319795,0.082243875,0.01377889,0.010258536,2
0.008280195,0.0467033,27.5405711,0.353127717,0.026690018,0.001479317,0.002525714,0.046124172,9.817965957,0.048218367,0.010323781,0.010616284,2
0.007274711,0.019667208,27.58699152,0.368387507,0.030783456,0.003792277,0.003309097,0.055551064,9.804144836,0.01271666,0.006075024,0.010219826,2
0.005777502,0.009319049,27.63284413,0.365874317,0.032628998,0.008652876,0.003638544,0.058725473,9.791152064,0.022655659,0.001408533,0.009106943,2
0.003791134,0.039338065,27.6748999,0.345961408,0.032155767,0.012899194,0.003394013,0.055418292,9.779678519,0.056685601,0.003139317,0.00791374,2
0.001285856,0.070239757,27.71027087,0.309626189,0.029520511,0.01656794,0.002962205,0.049975556,9.769209799,0.088146059,0.007223369,0.006830155,2
0.001737483,0.10187149,27.73635293,0.258422742,0.025010594,0.019714901,0.002241798,0.041259566,9.760459146,0.116018714,0.010622823,0.005893914,2
0.00526123,0.134138987,27.75093485,0.19435486,0.019010609,0.022467352,0.001492361,0.032932963,9.752908778,0.139446063,0.013202634,0.005231668,2
0.009207999,0.16630961,27.75211322,0.119896167,0.011907062,0.024866086,0.001102104,0.028559366,9.746294117,0.157419986,0.015085445,0.004355931,2
0.013378654,0.196386741,27.7382613,0.037986951,0.004009863,0.026686746,0.000898557,0.025835665,9.741849006,0.16914035,0.01640749,0.002854072,2
0.017483068,0.221527236,27.70826504,0.048088811,0.004427094,0.027559558,0.001019148,0.026196481,9.739960838,0.173989678,0.017277572,0.000447977,2
0.021138783,0.238098484,27.66168282,0.134787753,0.013204888,0.026952892,0.001146054,0.025401596,9.74235535,0.171631395,0.017753391,0.003087477,2
0.023949889,0.242702643,27.59912358,0.218546257,0.022090759,0.024420521,0.000910308,0.020527568,9.750074774,0.162283681,0.017644611,0.007196028,2
0.025587286,0.232885323,27.52247702,0.295935315,0.030758103,0.019778369,0.000642734,0.015438154,9.762349834,0.146198398,0.016816414,0.011574938,2
0.025761788,0.206774398,27.43482847,0.363686843,0.038821321,0.01293433,0.000118853,0.004589122,9.780240641,0.123867028,0.01510431,0.015893825,2
0.024321173,0.164141821,27.34062059,0.418868368,0.045762304,0.004156923,0.001362102,0.010514189,9.80261405,0.09601345,0.012214401,0.019195898,2
0.021263425,0.106216297,27.24539912,0.458799495,0.050977144,0.005989441,0.002434627,0.023719151,9.827122728,0.062892235,0.008151602,0.021394712,2
0.016640505,0.03467183,27.1553081,0.480903321,0.053901942,0.017001782,0.003556123,0.038949298,9.853432089,0.024785342,0.003010801,0.02254773,2
0.010597871,0.047751546,27.07689965,0.482803181,0.054011585,0.028300472,0.004469514,0.053855331,9.879455427,0.017851258,0.003087178,0.022463115,2
0.003354228,0.137414367,27.01668564,0.46237686,0.050891163,0.039312188,0.005178264,0.070404953,9.904025292,0.064343637,0.009850152,0.021270788,2
0.004768857,0.229172497,26.98084209,0.418066034,0.044240899,0.049331165,0.006306184,0.095051687,9.926700178,0.113048929,0.017140135,0.018178348,2
0.013221226,0.315139749,26.97500351,0.349325676,0.033823574,0.057112321,0.00749528,0.121758032,9.944110789,0.161679862,0.024755891,0.012154567,2
0.021281291,0.385876669,27.00347232,0.256814419,0.019600425,0.061138757,0.008069043,0.141725605,9.952506873,0.20770728,0.032116186,0.003233936,2
0.02821542,0.432580439,27.06826945,0.142520902,0.001922713,0.060180337,0.007392947,0.146878957,9.948717052,0.248340689,0.03830244,0.007461928,2
0.033434215,0.44901757,27.16838348,0.009900774,0.018336066,0.053759005,0.005473091,0.136644133,9.931989658,0.28045181,0.042260221,0.018227469,2
0.036534351,0.431955121,27.29957177,0.135913267,0.039818029,0.042141767,0.002694319,0.112789823,9.902877461,0.300524855,0.043163054,0.027880792,2
0.037289621,0.381173466,27.45448392,0.288089909,0.060797595,0.026169706,0.001018942,0.072702576,9.861985884,0.305404465,0.04033737,0.035205356,2
0.035708628,0.299990395,27.62295169,0.438350815,0.079296775,0.007283885,0.004811383,0.024685267,9.813617156,0.292413899,0.033495448,0.039357401,2
0.031947793,0.194048007,27.79295895,0.577224943,0.093372801,0.01292746,0.008305845,0.030023029,9.761090515,0.259652336,0.022953421,0.040469224,2
0.026310423,0.071349453,27.9515047,0.694725968,0.101303198,0.032771785,0.011843292,0.094226677,9.707503114,0.207029917,0.009170191,0.037865975,2
0.019340997,0.05724993,28.08552476,0.781169856,0.101714037,0.050216438,0.014203029,0.152452169,9.660609717,0.135683789,0.006866607,0.0313403,2
0.011628388,0.180808205,28.18358551,0.827692942,0.093930102,0.063582878,0.014764338,0.197870896,9.62538604,0.047917652,0.023459135,0.022246238,2
0.003675856,0.289750523,28.23709489,0.827087457,0.07813659,0.071862235,0.013867158,0.230855317,9.604266555,0.051921504,0.038904841,0.011591518,2
0.004067551,0.375875809,28.24095638,0.774748411,0.0553335,0.07452917,0.011374013,0.245413672,9.600054807,0.157902181,0.051557893,0.000364642,2
0.011251784,0.433271509,28.1941257,0.669368997,0.02727807,0.071628734,0.007855542,0.243333422,9.612176718,0.262759512,0.060031113,0.010437949,2
0.01757539,0.458093074,28.09954445,0.513557228,0.003743014,0.063545305,0.003807812,0.224113698,9.639465872,0.35827141,0.063513589,0.020430793,2
0.022764127,0.448818981,27.96387243,0.31401616,0.03514831,0.050921898,0.000863534,0.182762672,9.680657467,0.436450129,0.061555826,0.028766993,2
0.026666339,0.407392657,27.79712681,0.081251137,0.06423905,0.034928197,0.005675254,0.123186572,9.731449591,0.490098143,0.054175296,0.034266842,2
0.029240833,0.33870832,27.61170689,0.170887384,0.088497227,0.017105663,0.009652176,0.055487333,9.785929375,0.513105315,0.042137905,0.036604361,2
0.030439182,0.248897891,27.4210483,0.425935506,0.105931358,0.001134419,0.012374183,0.015617288,9.839787632,0.501303442,0.02679669,0.036316176,2
0.030194397,0.144856669,27.23857798,0.666060838,0.115243447,0.018625469,0.014197683,0.090937283,9.890303748,0.453490783,0.009590454,0.033559591,2
0.02853626,0.034839202,27.07696541,0.873594588,0.115824987,0.034168532,0.014926251,0.162565659,9.933319312,0.371426354,0.008044149,0.028241742,3
0.025590546,0.072474361,26.94712426,1.032391417,0.107800916,0.04667795,0.01434709,0.223038037,9.965708264,0.259450579,0.024585379,0.020987459,3
0.021544227,0.168969503,26.8573929,1.129149158,0.092006477,0.055367151,0.012807152,0.270104034,9.986164694,0.124580156,0.038762397,0.012375713,3
0.01667315,0.247327049,26.81308186,1.154610609,0.069849016,0.059686949,0.010229782,0.296886795,9.993031865,0.024173957,0.049569821,0.003101059,3
